Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
0 BLOCK OF NE KILLINGSWORTH ST,25-129858,Property,Humboldt,5/17/2025,2000,Motor Vehicle Theft,Motor Vehicle Theft,45.562674479,-122.666650468,7647247,698679,5/18/2025,1
0 BLOCK OF NE KILLINGSWORTH ST,25-910275,Property,Humboldt,5/3/2025,1141,Larceny Offenses,Theft From Building,45.562764135,-122.666114884,7647385,698708,5/3/2025,1
0 BLOCK OF NE KNOTT ST,25-74168,Society,Eliot,3/23/2025,1146,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.541934156,-122.665401923,7647364,691111,3/23/2025,1
0 BLOCK OF NE KNOTT ST,25-80301,Property,Eliot,3/29/2025,0800,Larceny Offenses,All Other Larceny,45.541934156,-122.665401923,7647364,691111,3/29/2025,1
0 BLOCK OF NE KNOTT ST,25-81573,Property,Eliot,3/30/2025,1700,Fraud Offenses,Hacking/Computer Invasion,45.541934156,-122.665401923,7647364,691111,3/30/2025,1
0 BLOCK OF NE KNOTT ST,25-81573,Property,Eliot,3/30/2025,1700,Larceny Offenses,All Other Larceny,45.541934156,-122.665401923,7647364,691111,3/30/2025,1
0 BLOCK OF NE KNOTT ST,25-123005,Person,Eliot,5/11/2025,1026,Assault Offenses,Aggravated Assault,45.541934156,-122.665401923,7647364,691111,5/11/2025,1
0 BLOCK OF NE KNOTT ST,25-906729,Property,Eliot,3/23/2025,1135,Larceny Offenses,Theft From Building,45.541934156,-122.665401923,7647364,691111,3/23/2025,1
0 BLOCK OF NE KNOTT ST,25-907288,Property,Eliot,3/29/2025,1115,Larceny Offenses,Theft From Building,45.541934156,-122.665401923,7647364,691111,3/29/2025,1
0 BLOCK OF NE MIDDLEFIELD RD,25-53658,Property,East Columbia,3/1/2025,0128,Larceny Offenses,Shoplifting,45.596094213,-122.667392023,7647384,710865,3/1/2025,1
0 BLOCK OF NE MONROE ST,25-906123,Property,Eliot,3/15/2025,0600,Larceny Offenses,All Other Larceny,45.545397014,-122.665381762,7647403,692373,3/15/2025,1
0 BLOCK OF NE MORGAN ST,25-124208,Property,Piedmont,5/12/2025,1629,Fraud Offenses,Identity Theft,45.574476155,-122.665413561,7647679,702972,5/12/2025,1
0 BLOCK OF NE MORGAN ST,25-905106,Property,Piedmont,3/1/2025,1535,Burglary,Burglary,45.574388348,-122.665414116,7647678,702940,3/2/2025,1
0 BLOCK OF NE MORRIS ST,25-141494,Property,Eliot,5/21/2025,0000,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.544543619,-122.665388249,7647393,692062,5/29/2025,1
0 BLOCK OF NE MORRIS ST,25-904237,Property,Eliot,2/20/2025,0900,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.544543619,-122.665388249,7647393,692062,2/20/2025,1
0 BLOCK OF NE RUSSELL ST,25-82337,Property,Eliot,3/31/2025,1815,Vandalism,Vandalism,45.540883065,-122.665416484,7647350,690728,3/31/2025,1
0 BLOCK OF NE SAN RAFAEL ST,25-903272,Property,Eliot,2/7/2025,1329,Larceny Offenses,All Other Larceny,45.537033259,-122.665441401,7647306,689325,2/7/2025,1
0 BLOCK OF NE SARATOGA ST,25-122080,Property,Piedmont,5/8/2025,1930,Motor Vehicle Theft,Motor Vehicle Theft,45.572548187,-122.665371218,7647671,702269,5/10/2025,1
0 BLOCK OF NE SHAVER ST,25-909008,Property,Boise,4/18/2025,0559,Larceny Offenses,Theft From Motor Vehicle,45.552103364,-122.665188573,7647518,694816,4/18/2025,1
0 BLOCK OF NE STAFFORD ST,25-130735,Property,Piedmont,5/19/2025,0942,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.576532896,-122.665902291,7647574,703725,5/19/2025,1
0 BLOCK OF NE STANTON ST,25-37961,Property,Eliot,2/11/2025,1300,Vandalism,Vandalism,45.543779608,-122.664582096,7647592,691778,2/12/2025,1
0 BLOCK OF NE STANTON ST,25-86572,Property,Eliot,4/4/2025,2352,Arson,Arson,45.543782918,-122.665862913,7647264,691788,4/4/2025,1
0 BLOCK OF NE THOMPSON ST,25-77415,Property,Eliot,3/25/2025,0000,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.538959607,-122.665425094,7647329,690027,3/26/2025,1
0 BLOCK OF NE THOMPSON ST,25-100869,Property,Eliot,4/19/2025,1027,Burglary,Burglary,45.539047414,-122.665424540,7647330,690059,4/19/2025,1
0 BLOCK OF NE THOMPSON ST,25-131012,Property,Eliot,5/18/2025,1700,Motor Vehicle Theft,Motor Vehicle Theft,45.539047414,-122.665424540,7647330,690059,5/19/2025,1
0 BLOCK OF NE THOMPSON ST,25-902846,Property,Eliot,2/2/2025,1400,Larceny Offenses,Theft From Motor Vehicle,45.539047414,-122.665424540,7647330,690059,2/2/2025,1
0 BLOCK OF NE TOMAHAWK ISLAND DR,25-15628,Property,Hayden Island,12/19/2024,0000,Larceny Offenses,All Other Larceny,45.605460058,-122.665248449,7648024,714264,1/18/2025,1
0 BLOCK OF NE TOMAHAWK ISLAND DR,25-912197,Property,Hayden Island,5/25/2025,0304,Larceny Offenses,All Other Larceny,45.605460058,-122.665248449,7648024,714264,5/27/2025,1
0 BLOCK OF NE WEIDLER ST,25-17323,Property,Lloyd,1/14/2025,0000,Motor Vehicle Theft,Motor Vehicle Theft,45.534318827,-122.665201218,7647341,688334,1/20/2025,1
0 BLOCK OF NE WEIDLER ST,25-96077,Property,Lloyd,4/14/2025,1930,Vandalism,Vandalism,45.534318827,-122.665201218,7647341,688334,4/14/2025,1
0 BLOCK OF NE WEIDLER ST,25-129703,Property,Lloyd,5/18/2025,0733,Vandalism,Vandalism,45.534406708,-122.665196762,7647343,688366,5/18/2025,1
0 BLOCK OF NE WYGANT ST,25-1141,Property,Humboldt,1/1/2025,0200,Motor Vehicle Theft,Motor Vehicle Theft,45.557700995,-122.666175458,7647320,696863,1/2/2025,1
0 BLOCK OF NW 2ND AVE,25-54660,Person,Old Town/Chinatown,3/2/2025,0051,Assault Offenses,Simple Assault,45.523490129,-122.672442351,7645380,684437,3/2/2025,1
0 BLOCK OF NW 2ND AVE,25-68456,Property,Old Town/Chinatown,3/17/2025,0921,Burglary,Burglary,45.523490129,-122.672442351,7645380,684437,3/17/2025,1
0 BLOCK OF NW 2ND AVE,25-85620,Person,Old Town/Chinatown,4/4/2025,0046,Assault Offenses,Aggravated Assault,45.523490129,-122.672442351,7645380,684437,4/4/2025,1
0 BLOCK OF NW 2ND AVE,25-85620,Person,Old Town/Chinatown,4/4/2025,0046,Assault Offenses,Simple Assault,45.523490129,-122.672442351,7645380,684437,4/4/2025,1
0 BLOCK OF NW 2ND AVE,25-901294,Property,Old Town/Chinatown,1/14/2025,1310,Larceny Offenses,All Other Larceny,45.523490129,-122.672442351,7645380,684437,1/15/2025,1
0 BLOCK OF NW 2ND AVE,25-903231,Property,Old Town/Chinatown,2/5/2025,0012,Larceny Offenses,All Other Larceny,45.523490129,-122.672442351,7645380,684437,2/7/2025,1
0 BLOCK OF NW 3RD AVE,25-33,Property,Old Town/Chinatown,1/1/2025,0026,Larceny Offenses,Pocket-Picking,45.523478944,-122.673324037,7645154,684439,1/1/2025,1
0 BLOCK OF NW 3RD AVE,25-39671,Property,Old Town/Chinatown,2/13/2025,2000,Vandalism,Vandalism,45.523478944,-122.673324037,7645154,684439,2/14/2025,1
0 BLOCK OF NW 3RD AVE,25-46070,Property,Old Town/Chinatown,2/7/2025,2200,Larceny Offenses,Theft From Building,45.523478944,-122.673324037,7645154,684439,2/21/2025,1
0 BLOCK OF NW 3RD AVE,25-48539,Property,Old Town/Chinatown,2/24/2025,0146,Vandalism,Vandalism,45.523478944,-122.673324037,7645154,684439,2/24/2025,1
0 BLOCK OF NW 3RD AVE,25-57570,Property,Old Town/Chinatown,3/5/2025,1054,Vandalism,Vandalism,45.523476583,-122.673448847,7645122,684439,3/5/2025,1
0 BLOCK OF NW 3RD AVE,25-70451,Person,Old Town/Chinatown,3/19/2025,1151,Assault Offenses,Intimidation,45.523478944,-122.673324037,7645154,684439,3/19/2025,1
0 BLOCK OF NW 3RD AVE,25-801399,Person,Old Town/Chinatown,8/20/2024,0200,Assault Offenses,Simple Assault,45.523478944,-122.673324037,7645154,684439,4/1/2025,1
0 BLOCK OF NW 4TH AVE,25-8558,Property,Old Town/Chinatown,1/10/2025,0730,Larceny Offenses,Theft From Building,45.523456870,-122.674345819,7644892,684438,1/10/2025,1
0 BLOCK OF NW 4TH AVE,25-15256,Person,Old Town/Chinatown,1/18/2025,0053,Assault Offenses,Simple Assault,45.523456870,-122.674345819,7644892,684438,1/18/2025,2
0 BLOCK OF NW 4TH AVE,25-65687,Person,Old Town/Chinatown,3/14/2025,0809,Assault Offenses,Aggravated Assault,45.523456870,-122.674345819,7644892,684438,3/14/2025,2
0 BLOCK OF NW 4TH AVE,25-65687,Property,Old Town/Chinatown,3/14/2025,0809,Burglary,Burglary,45.523456870,-122.674345819,7644892,684438,3/14/2025,1
0 BLOCK OF NW 4TH AVE,25-66651,Property,Old Town/Chinatown,3/15/2025,1144,Arson,Arson,45.523456870,-122.674345819,7644892,684438,3/15/2025,1
0 BLOCK OF NW 4TH AVE,25-66651,Property,Old Town/Chinatown,3/15/2025,1144,Burglary,Burglary,45.523456870,-122.674345819,7644892,684438,3/15/2025,1
0 BLOCK OF NW 4TH AVE,25-66651,Property,Old Town/Chinatown,3/15/2025,1144,Vandalism,Vandalism,45.523456870,-122.674345819,7644892,684438,3/15/2025,1
0 BLOCK OF NW 4TH AVE,25-94513,Person,Old Town/Chinatown,4/13/2025,0220,Assault Offenses,Aggravated Assault,45.523456870,-122.674345819,7644892,684438,4/13/2025,1
0 BLOCK OF NW 4TH AVE,25-94513,Person,Old Town/Chinatown,4/13/2025,0220,Assault Offenses,Simple Assault,45.523456870,-122.674345819,7644892,684438,4/13/2025,2
0 BLOCK OF NW 4TH AVE,25-94513,Property,Old Town/Chinatown,4/13/2025,0220,Vandalism,Vandalism,45.523456870,-122.674345819,7644892,684438,4/13/2025,1
0 BLOCK OF NW 4TH AVE,25-94513,Society,Old Town/Chinatown,4/13/2025,0220,Weapon Law Violations,Weapons Law Violations,45.523456870,-122.674345819,7644892,684438,4/13/2025,1
0 BLOCK OF NW 4TH AVE,25-143287,Person,Old Town/Chinatown,5/31/2025,0113,Assault Offenses,Aggravated Assault,45.523456870,-122.674345819,7644892,684438,5/31/2025,1
0 BLOCK OF NW 5TH AVE,25-79468,Person,Old Town/Chinatown,3/28/2025,1702,Assault Offenses,Simple Assault,45.523435387,-122.675480816,7644601,684438,3/28/2025,1
0 BLOCK OF NW 5TH AVE,25-130831,Property,Old Town/Chinatown,5/19/2025,1116,Burglary,Burglary,45.523435387,-122.675480816,7644601,684438,5/19/2025,1
0 BLOCK OF NW 6TH AVE,25-47445,Person,Old Town/Chinatown,2/22/2025,2137,Assault Offenses,Simple Assault,45.523418473,-122.676373991,7644372,684438,2/22/2025,1
0 BLOCK OF NW 6TH AVE,25-51517,Person,Old Town/Chinatown,2/27/2025,0002,Assault Offenses,Aggravated Assault,45.523418473,-122.676373991,7644372,684438,2/27/2025,1
0 BLOCK OF NW 6TH AVE,25-79848,Person,Old Town/Chinatown,3/29/2025,0038,Assault Offenses,Aggravated Assault,45.523416109,-122.676498802,7644340,684438,3/29/2025,1
0 BLOCK OF NW 6TH AVE,25-89921,Person,Old Town/Chinatown,4/7/2025,2220,Assault Offenses,Simple Assault,45.523418473,-122.676373991,7644372,684438,4/8/2025,1
0 BLOCK OF NW 6TH AVE,25-105364,Person,Old Town/Chinatown,4/23/2025,2140,Assault Offenses,Simple Assault,45.523418473,-122.676373991,7644372,684438,4/23/2025,1
0 BLOCK OF NW 6TH AVE,25-105416,Person,Old Town/Chinatown,4/23/2025,2110,Assault Offenses,Simple Assault,45.523418473,-122.676373991,7644372,684438,4/23/2025,1
0 BLOCK OF NW 6TH AVE,25-907866,Property,Old Town/Chinatown,4/5/2025,2000,Larceny Offenses,All Other Larceny,45.523418473,-122.676373991,7644372,684438,4/6/2025,1
0 BLOCK OF NW 8TH AVE,25-64398,Property,Pearl,3/12/2025,1644,Vandalism,Vandalism,45.523380040,-122.678402161,7643852,684438,3/12/2025,1
0 BLOCK OF NW 9TH AVE,25-130864,Property,Pearl,5/19/2025,1158,Burglary,Burglary,45.523352088,-122.680165316,7643400,684440,5/19/2025,1
0 BLOCK OF NW 9TH AVE,25-901047,Property,Pearl,1/12/2025,1350,Larceny Offenses,Theft From Motor Vehicle,45.523352088,-122.680165316,7643400,684440,1/12/2025,1
0 BLOCK OF NW 9TH AVE,25-907692,Property,Pearl,4/3/2025,0840,Larceny Offenses,Theft From Motor Vehicle,45.523352088,-122.680165316,7643400,684440,4/3/2025,1
0 BLOCK OF NW 9TH AVE,25-910431,Property,Pearl,5/4/2025,1530,Vandalism,Vandalism,45.523352088,-122.680165316,7643400,684440,5/5/2025,1
0 BLOCK OF NW 9TH AVE,25-911333,Property,Pearl,5/8/2025,0000,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.523352088,-122.680165316,7643400,684440,5/16/2025,1
0 BLOCK OF NW 10TH AVE,25-1776,Property,Pearl,1/3/2025,0217,Larceny Offenses,All Other Larceny,45.523337732,-122.681066395,7643169,684441,1/3/2025,1
0 BLOCK OF NW 10TH AVE,25-63606,Property,Pearl,3/11/2025,2028,Larceny Offenses,Theft From Motor Vehicle,45.523337732,-122.681066395,7643169,684441,3/11/2025,1
0 BLOCK OF NW 10TH AVE,25-101991,Property,Pearl,4/20/2025,1507,Vandalism,Vandalism,45.523337732,-122.681066395,7643169,684441,4/20/2025,1
0 BLOCK OF NW 10TH AVE,25-900131,Property,Pearl,12/29/2024,2108,Vandalism,Vandalism,45.523337732,-122.681066395,7643169,684441,1/2/2025,1
0 BLOCK OF NW 12TH AVE,25-46804,Property,Pearl,2/22/2025,0537,Burglary,Burglary,45.523302032,-122.683090763,7642650,684442,2/22/2025,1
0 BLOCK OF NW 14TH AVE,25-907835,Property,Pearl,4/4/2025,1925,Larceny Offenses,Theft From Motor Vehicle,45.523255553,-122.685103006,7642134,684439,4/5/2025,1
0 BLOCK OF NW 16TH AVE,25-912313,Property,Northwest,5/28/2025,2300,Vandalism,Vandalism,45.523224746,-122.687154882,7641608,684442,5/28/2025,1
0 BLOCK OF NW 20TH PL,25-46476,Property,Northwest,2/21/2025,1920,Motor Vehicle Theft,Motor Vehicle Theft,45.523449245,-122.693369587,7640018,684567,2/21/2025,1
0 BLOCK OF NW 23RD PL,25-11543,Property,Northwest,1/14/2025,0525,Burglary,Burglary,45.524061603,-122.699657929,7638413,684834,1/14/2025,1
0 BLOCK OF NW BROADWAY,25-16254,Property,Old Town/Chinatown,1/19/2025,0504,Robbery,Robbery,45.523402225,-122.677376481,7644115,684439,1/19/2025,1
0 BLOCK OF NW BROADWAY,25-109008,Person,Old Town/Chinatown,4/27/2025,1607,Assault Offenses,Simple Assault,45.523402225,-122.677376481,7644115,684439,4/27/2025,1
0 BLOCK OF NW BROADWAY,25-119141,Person,Old Town/Chinatown,5/7/2025,1532,Assault Offenses,Simple Assault,45.523402225,-122.677376481,7644115,684439,5/7/2025,1
0 BLOCK OF NW BROADWAY,25-140183,Property,Old Town/Chinatown,5/26/2025,1900,Robbery,Robbery,45.523402225,-122.677376481,7644115,684439,5/28/2025,1
0 BLOCK OF NW DAVIS ST,25-31891,Property,Old Town/Chinatown,2/5/2025,1350,Burglary,Burglary,45.524547289,-122.670800508,7645811,684811,2/5/2025,1
0 BLOCK OF NW DAVIS ST,25-53857,Property,Old Town/Chinatown,3/1/2025,0843,Larceny Offenses,Theft From Motor Vehicle,45.524635023,-122.670803863,7645811,684843,3/1/2025,1
0 BLOCK OF NW DAVIS ST,25-53857,Property,Old Town/Chinatown,3/1/2025,0843,Vandalism,Vandalism,45.524635023,-122.670803863,7645811,684843,3/1/2025,1
0 BLOCK OF NW DAVIS ST,25-92130,Property,Old Town/Chinatown,4/10/2025,1642,Vandalism,Vandalism,45.524635023,-122.670803863,7645811,684843,4/10/2025,1
0 BLOCK OF NW DAVIS ST,25-107079,Property,Old Town/Chinatown,4/24/2025,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.524547289,-122.670800508,7645811,684811,4/25/2025,1
0 BLOCK OF NW DAVIS ST,25-119104,Property,Old Town/Chinatown,5/6/2025,2245,Larceny Offenses,Theft From Motor Vehicle,45.524635023,-122.670803863,7645811,684843,5/7/2025,1
0 BLOCK OF NW DAVIS ST,25-137897,Property,Old Town/Chinatown,5/25/2025,1700,Larceny Offenses,Theft From Motor Vehicle,45.524635023,-122.670803863,7645811,684843,5/26/2025,1
0 BLOCK OF NW DAVIS ST,25-143439,Property,Old Town/Chinatown,5/31/2025,0703,Burglary,Burglary,45.524635023,-122.670803863,7645811,684843,5/31/2025,1
0 BLOCK OF NW DAVIS ST,25-910113,Property,Old Town/Chinatown,4/30/2025,0005,Larceny Offenses,All Other Larceny,45.524547289,-122.670800508,7645811,684811,4/30/2025,1
0 BLOCK OF NW DAVIS ST,25-910301,Property,Old Town/Chinatown,5/2/2025,2030,Larceny Offenses,Theft From Motor Vehicle,45.524635023,-122.670803863,7645811,684843,5/4/2025,1
0 BLOCK OF NW DAVIS ST,25-911885,Property,Old Town/Chinatown,5/22/2025,1905,Larceny Offenses,Theft From Motor Vehicle,45.524635023,-122.670803863,7645811,684843,5/23/2025,1
0 BLOCK OF NW PARK AVE,25-52336,Property,Pearl,2/27/2025,2002,Larceny Offenses,Theft From Motor Vehicle,45.523371398,-122.679147333,7643661,684440,2/27/2025,1
0 BLOCK OF NW PARK AVE,25-52336,Property,Pearl,2/27/2025,2002,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.523371398,-122.679147333,7643661,684440,2/27/2025,1
0 BLOCK OF NW PARK AVE,25-60598,Person,Pearl,3/8/2025,1240,Assault Offenses,Aggravated Assault,45.523371398,-122.679147333,7643661,684440,3/8/2025,1
0 BLOCK OF NW PARK AVE,25-74739,Person,Pearl,3/24/2025,0053,Assault Offenses,Simple Assault,45.523371398,-122.679147333,7643661,684440,3/24/2025,1
0 BLOCK OF NW PARK AVE,25-143483,Property,Pearl,5/31/2025,0815,Larceny Offenses,Theft From Motor Vehicle,45.523371398,-122.679147333,7643661,684440,5/31/2025,1
0 BLOCK OF NW PARK AVE,25-901144,Property,Pearl,1/11/2025,0000,Larceny Offenses,Theft From Motor Vehicle,45.523371398,-122.679147333,7643661,684440,1/13/2025,1
0 BLOCK OF NW PARK AVE,25-902359,Property,Pearl,1/26/2025,2245,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.523371398,-122.679147333,7643661,684440,1/27/2025,1
0 BLOCK OF NW PARK AVE,25-902421,Property,Pearl,1/28/2025,0000,Larceny Offenses,Theft From Motor Vehicle,45.523371398,-122.679147333,7643661,684440,1/28/2025,1
0 BLOCK OF NW PARK AVE,25-904738,Property,Pearl,2/26/2025,0400,Vandalism,Vandalism,45.523371398,-122.679147333,7643661,684440,2/26/2025,1
0 BLOCK OF NW PARK AVE,25-904759,Property,Pearl,2/26/2025,0405,Larceny Offenses,Theft From Motor Vehicle,45.523371398,-122.679147333,7643661,684440,2/26/2025,1
0 BLOCK OF NW TRINITY PL,25-4487,Property,Northwest,1/6/2025,0736,Burglary,Burglary,45.523372791,-122.691336981,7640538,684525,1/6/2025,1
0 BLOCK OF S CANBY ST,25-108679,Property,South Portland,4/26/2025,1700,Motor Vehicle Theft,Motor Vehicle Theft,45.468367451,-122.677182576,7643624,664379,4/27/2025,1
0 BLOCK OF S HARRISON ST,25-77663,Person,Downtown,3/26/2025,1936,Assault Offenses,Simple Assault,45.508808742,-122.676500897,7644196,679114,3/26/2025,1
0 BLOCK OF S MEADE ST,25-901439,Property,South Portland,1/16/2025,1600,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.502918969,-122.677176505,7643965,676972,1/16/2025,1
0 BLOCK OF S PORTER ST,25-95116,Person,South Portland,4/13/2025,1943,Assault Offenses,Simple Assault,45.501491728,-122.677059371,7643981,676451,4/13/2025,1
0 BLOCK OF S SEYMOUR ST,25-910357,Property,South Portland,5/6/2025,0544,Larceny Offenses,Theft From Motor Vehicle,45.489425995,-122.677439581,7643765,672056,5/6/2025,1
0 BLOCK OF S SHERMAN ST,25-3918,Property,Downtown,1/5/2025,1215,Burglary,Burglary,45.506420228,-122.676725424,7644115,678245,1/5/2025,1
0 BLOCK OF SE 2ND AVE,25-123188,Property,Buckman West,5/11/2025,1538,Larceny Offenses,Theft From Motor Vehicle,45.522599450,-122.663809757,7647583,684053,5/11/2025,1
0 BLOCK OF SE 10TH AVE,25-903560,Property,Buckman West,2/7/2025,2200,Larceny Offenses,Theft From Motor Vehicle,45.522559396,-122.655576637,7649692,683982,2/11/2025,1
0 BLOCK OF SE 11TH AVE,25-545,Property,Buckman West,12/27/2024,1700,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.522556555,-122.654557827,7649953,683974,1/1/2025,1
0 BLOCK OF SE 11TH AVE,25-545,Property,Buckman West,12/27/2024,1700,Larceny Offenses,Theft From Motor Vehicle,45.522556555,-122.654557827,7649953,683974,1/1/2025,1
0 BLOCK OF SE 13TH AVE,25-58215,Property,Buckman East,3/5/2025,2358,Larceny Offenses,Theft From Motor Vehicle,45.522547958,-122.652527904,7650473,683957,3/5/2025,1
0 BLOCK OF SE 13TH AVE,25-58215,Property,Buckman East,3/5/2025,2358,Vandalism,Vandalism,45.522547958,-122.652527904,7650473,683957,3/5/2025,1
0 BLOCK OF SE 13TH AVE,25-904900,Property,Buckman East,2/9/2025,0005,Burglary,Burglary,45.522547958,-122.652527904,7650473,683957,2/27/2025,1
0 BLOCK OF SE 13TH AVE,25-910183,Property,Buckman East,4/30/2025,2300,Burglary,Burglary,45.522547958,-122.652527904,7650473,683957,5/1/2025,1
0 BLOCK OF SE 13TH AVE,25-910403,Property,Buckman East,5/1/2025,0000,Larceny Offenses,Theft From Building,45.522547958,-122.652527904,7650473,683957,5/5/2025,1
0 BLOCK OF SE 20TH AVE,25-23359,Person,Buckman East,1/27/2025,0315,Assault Offenses,Simple Assault,45.522524632,-122.645560052,7652258,683901,1/27/2025,1
0 BLOCK OF SE 20TH AVE,25-41728,Property,Buckman East,2/16/2025,2332,Larceny Offenses,Shoplifting,45.522524632,-122.645560052,7652258,683901,2/16/2025,1
0 BLOCK OF SE 20TH AVE,25-101630,Property,Buckman East,4/20/2025,0239,Larceny Offenses,Shoplifting,45.522524632,-122.645560052,7652258,683901,4/20/2025,1
0 BLOCK OF SE 20TH AVE,25-134159,Property,Buckman East,5/22/2025,1530,Larceny Offenses,Shoplifting,45.522524632,-122.645560052,7652258,683901,5/22/2025,1
0 BLOCK OF SE 20TH AVE,25-901781,Property,Buckman East,12/29/2024,1212,Larceny Offenses,Shoplifting,45.522524632,-122.645560052,7652258,683901,1/21/2025,1
0 BLOCK OF SE 20TH AVE,25-902744,Property,Buckman East,2/1/2025,0934,Larceny Offenses,Shoplifting,45.522524632,-122.645560052,7652258,683901,2/1/2025,1
0 BLOCK OF SE 20TH AVE,25-911097,Property,Buckman East,4/24/2025,1646,Larceny Offenses,All Other Larceny,45.522524632,-122.645560052,7652258,683901,5/12/2025,1
0 BLOCK OF SE 20TH AVE,25-911282,Property,Buckman East,5/14/2025,0730,Larceny Offenses,Shoplifting,45.522524632,-122.645560052,7652258,683901,5/15/2025,1
0 BLOCK OF SE 22ND AVE,25-906750,Property,Buckman East,3/22/2025,1205,Larceny Offenses,Theft From Motor Vehicle,45.522518618,-122.643530235,7652778,683885,3/23/2025,1
0 BLOCK OF SE 28TH AVE,25-86246,Property,Kerns,3/24/2025,0800,Vandalism,Vandalism,45.522501971,-122.637206664,7654398,683836,3/24/2025,1
0 BLOCK OF SE 28TH AVE,25-910715,Property,Buckman East,5/6/2025,2100,Larceny Offenses,All Other Larceny,45.522502391,-122.637331578,7654366,683837,5/7/2025,1
0 BLOCK OF SE 52ND AVE,25-912231,Property,Mt Tabor,5/24/2025,0505,Larceny Offenses,Theft From Motor Vehicle,45.522249648,-122.610184421,7661319,683562,5/24/2025,1
0 BLOCK OF SE 55TH AVE,25-77203,Property,Mt Tabor,3/25/2025,2030,Motor Vehicle Theft,Motor Vehicle Theft,45.522453603,-122.607592598,7661985,683619,3/26/2025,1
0 BLOCK OF SE 55TH AVE,25-106696,Property,Mt Tabor,4/25/2025,0807,Larceny Offenses,All Other Larceny,45.522453603,-122.607592598,7661985,683619,4/25/2025,1
0 BLOCK OF SE 55TH AVE,25-106757,Society,Mt Tabor,4/25/2025,0942,Weapon Law Violations,Weapons Law Violations,45.522453603,-122.607592598,7661985,683619,4/25/2025,1
0 BLOCK OF SE 55TH AVE,25-125853,Society,Mt Tabor,5/14/2025,1143,Weapon Law Violations,Weapons Law Violations,45.522453603,-122.607592598,7661985,683619,5/14/2025,1
0 BLOCK OF SE 57TH AVE,25-97822,Property,Mt Tabor,4/15/2025,1500,Motor Vehicle Theft,Motor Vehicle Theft,45.522450698,-122.604907224,7662673,683600,4/16/2025,1
0 BLOCK OF SE 57TH AVE,25-903218,Property,Mt Tabor,2/6/2025,2020,Larceny Offenses,All Other Larceny,45.522451153,-122.605032137,7662641,683601,2/7/2025,1
0 BLOCK OF SE 60TH AVE,25-900357,Property,Mt Tabor,11/15/2024,1741,Fraud Offenses,Identity Theft,45.522565512,-122.602382331,7663321,683625,1/4/2025,1
0 BLOCK OF SE 65TH AVE,25-903431,Property,Mt Tabor,2/9/2025,0000,Larceny Offenses,Theft From Motor Vehicle,45.522614520,-122.597599059,7664547,683611,2/9/2025,1
0 BLOCK OF SE 72ND AVE,25-902743,Property,Mt Tabor,1/31/2025,1330,Larceny Offenses,All Other Larceny,45.522584615,-122.588999653,7666750,683543,2/1/2025,1
0 BLOCK OF SE 80TH AVE,25-901400,Property,Montavilla,12/25/2024,1730,Vandalism,Vandalism,45.522384975,-122.581404929,7668694,683420,1/16/2025,1
0 BLOCK OF SE 82ND AVE,25-10863,Property,Montavilla,1/13/2025,1111,Larceny Offenses,All Other Larceny,45.522366035,-122.579117097,7669280,683398,1/13/2025,1
0 BLOCK OF SE 82ND AVE,25-32506,Property,Montavilla,2/6/2025,0721,Vandalism,Vandalism,45.522366035,-122.579117097,7669280,683398,2/6/2025,1
0 BLOCK OF SE 82ND AVE,25-46884,Property,Montavilla,2/22/2025,0827,Larceny Offenses,All Other Larceny,45.522366035,-122.579117097,7669280,683398,2/22/2025,1
0 BLOCK OF SE 82ND AVE,25-52365,Property,Montavilla,2/27/2025,2035,Larceny Offenses,Theft From Building,45.522366035,-122.579117097,7669280,683398,2/27/2025,1
0 BLOCK OF SE 82ND AVE,25-91287,Person,Montavilla,4/9/2025,1930,Assault Offenses,Simple Assault,45.522366035,-122.579117097,7669280,683398,4/9/2025,1
0 BLOCK OF SE 82ND AVE,25-94480,Person,Montavilla,4/13/2025,0106,Assault Offenses,Simple Assault,45.522366035,-122.579117097,7669280,683398,4/13/2025,1
0 BLOCK OF SE 82ND AVE,25-94480,Property,Montavilla,4/13/2025,0106,Vandalism,Vandalism,45.522366035,-122.579117097,7669280,683398,4/13/2025,1
0 BLOCK OF SE 82ND AVE,25-912402,Property,Montavilla,5/27/2025,1605,Larceny Offenses,Theft From Building,45.522366035,-122.579117097,7669280,683398,5/28/2025,1
0 BLOCK OF SE 89TH AVE,25-50918,Property,Montavilla,2/24/2025,1312,Larceny Offenses,Theft From Motor Vehicle,45.522145422,-122.572040786,7671091,683271,2/26/2025,1
